record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,claim_id,claim_statement,claim_class,source_ids,claim_build_id,source_type,verification,claim_epistemic_status,claim_status,target_build_observed_claim,required_follow_up
claim:CLAIM-001,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-001,The package contains a 131-state candidate census.,package_structure,SRC-SPEC-ATTACHMENT,research-snapshot-2026-09-03,source-derived,counted from supplied list; not live observed,inferred,requirements baseline only,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-002,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-002,The public research target is v0.107.1 with Steam BuildID 23811903.,build_identity,SRC-OFFICIAL-PATCH-107;SRC-STEAMDB-LIVE,public-v0.107.1+steam-23811903,source-derived,public documentation plus third-party depot mapping,inferred,re-probe local installation before runtime,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-003,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-003,The documented v0.111.0 beta patch and public-beta branch pointer are tracked separately.,build_identity,SRC-STEAMDB-BETA-DOCUMENTED;SRC-STEAMDB-BETA-POINTER,beta-v0.111.0+steam-24489008 / beta-branch-pointer+steam-24724944,source-derived,version-to-pointer mapping remains unresolved,inferred,never pool beta with live,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-004,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-004,The package is generated/synthetic and does not contain target-build gameplay captures.,evidence_boundary,SRC-SPEC-ATTACHMENT,research-snapshot-2026-09-03,proposed,no live capture input was used,hypothesized,all rows retain target_build_observed=false,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-005,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-005,PRIVILEGED unrevealed RNG/future state is denied and unavailable to production policy.,fair_play,SRC-SPEC-ATTACHMENT;SRC-OFFICIAL-PATCH-107,public-v0.107.1+steam-23811903,proposed,requirements rule; leakage tests are pending,hypothesized,security invariant requires CI enforcement,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-006,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-006,"Legal actions are semantic catalog entries, not coordinates or invented UI commands.",action_contract,SRC-SPEC-ATTACHMENT;SRC-GODOT-DOCS,public-v0.107.1+steam-23811903,proposed,requirements architecture; adapter conformance pending,hypothesized,raw_ui_operation remains null,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-007,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-007,"Every generated inventory row carries build, evidence, validation, and provenance metadata.",artifact_integrity,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,generated by this baseline materialization,hypothesized,verify with row-level validator,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-008,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-008,The observation inventory has exactly 4315 rows.,package_structure,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,deterministic generator assertion,hypothesized,syntax/count validation required,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-009,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-009,The state/action inventory has exactly 421 rows.,package_structure,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,deterministic generator assertion,hypothesized,syntax/count validation required,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-010,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-010,The transition inventory has exactly 1059 rows.,package_structure,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,deterministic generator assertion,hypothesized,syntax/count validation required,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-011,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-011,"Information importance is an analyst prior, not a completed expert or autonomous ablation result.",evaluation,SRC-SPEC-ATTACHMENT;SRC-AGENTICSTS,research-snapshot-2026-09-03,source-derived,methodology precedent only,inferred,empirical_status remains not_executed,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-012,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-012,Simulator and privileged labels must remain offline-only.,architecture,SRC-SPEC-ATTACHMENT;SRC-STS2-RL,public-v0.107.1+steam-23811903,proposed,architecture requirement; process test pending,hypothesized,production boundary must be tested,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-013,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-013,Co-op is a separate schema/evaluation lane and does not silently pool with solo.,cooperative_mode,SRC-OFFICIAL-STEAM;SRC-SPEC-ATTACHMENT,product-metadata,source-derived,official capability plus requirements policy,inferred,live co-op validation not performed,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-014,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,CLAIM-014,"A successful parse, acknowledgement, or accepted action is not proof of completed game effect.",evidence_policy,SRC-SPEC-ATTACHMENT;SRC-LOCAL-HOST-TRACE,public-v0.107.1+steam-23811903,source-derived,repository evidence policy and bounded trace scope,inferred,postcondition evidence required,false,retain as requirements baseline until target-build evidence exists
claim:CLAIM-015,true,claim_evidence_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,CLAIM-015,The package does not claim exact executable/data hashes or target-build state discovery.,evidence_boundary,SRC-SPEC-ATTACHMENT;SRC-LOCAL-HOST-TRACE,public-v0.107.1+steam-23811903,proposed,hash fields remain unavailable and validation status required,hypothesized,install-and-capture gate remains open,false,retain as requirements baseline until target-build evidence exists
