record_id,generated_baseline,provenance_kind,generator,provenance_source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,source_id,source_type,title,locator,source_date,source_build_id,supports,verification,reuse_policy,license_or_permission,target_build_observed_scope
source-record:SRC-SPEC-ATTACHMENT,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-SPEC-ATTACHMENT,user_provided_specification,Supplied STS2 expert-state specification,supplied attachment pasted-text-1.txt,2026-09-03,research-snapshot-2026-09-03,"counts, 131 candidate state IDs, architecture, fair-play rules, package requirements",read completely; no live capture,requirements input; no code copied,user-provided requirements,none; this source row is not a gameplay observation
source-record:SRC-OFFICIAL-STEAM,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-OFFICIAL-STEAM,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-OFFICIAL-STEAM,official_product_page,Slay the Spire 2 Steam listing,https://store.steampowered.com/app/2868840/Slay_the_Spire_2/,2026-09-03,product metadata,"Early Access status, single-player/co-op capability, platform metadata",public documentation only,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-OFFICIAL-PATCH-107,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-OFFICIAL-PATCH-107,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-OFFICIAL-PATCH-107,official_patch_notes,Major Update #2 / v0.107.1 notes,https://steamcommunity.com/games/2868840/announcements/detail/710026912607505281,2026-09-03,public-v0.107.1,mod loader/Workshop context and RNG implementation change,public documentation only,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-STEAMDB-LIVE,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-STEAMDB-LIVE,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-STEAMDB-LIVE,third_party_build_metadata,SteamDB public patch metadata,https://steamdb.info/patchnotes/23811903/,2026-09-03,public-v0.107.1+steam-23811903,public branch BuildID mapping,depot metadata; not semantic gameplay observation,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-STEAMDB-BETA-DOCUMENTED,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-STEAMDB-BETA-DOCUMENTED,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-STEAMDB-BETA-DOCUMENTED,third_party_build_metadata,SteamDB documented v0.111.0 patch metadata,https://steamdb.info/patchnotes/24489008/,2026-09-03,beta-v0.111.0+steam-24489008,documented beta patch identity,depot metadata; versioned separately,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-STEAMDB-BETA-POINTER,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-STEAMDB-BETA-POINTER,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-STEAMDB-BETA-POINTER,third_party_branch_metadata,SteamDB depot branch pointer,https://steamdb.info/app/2868840/depots/,2026-09-03,beta-branch-pointer+steam-24724944,public-beta branch pointer; version mapping remains unresolved,branch metadata only; not direct gameplay observation,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-GODOT-DOCS,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-GODOT-DOCS,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-GODOT-DOCS,official_engine_documentation,Godot Input/InputMap documentation,https://docs.godotengine.org/en/stable/classes/class_inputmap.html,2026-09-03,engine-documentation,semantic input action abstraction and input mapping precedent,engine documentation only,summarized public source,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-SPIRE-CODEX,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-SPIRE-CODEX,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-SPIRE-CODEX,community_reverse_engineering,Spire Codex,https://github.com/ptrlrd/spire-codex,2026-09-03,community-current-unspecified,structured extraction feasibility; not normative live evidence,community source; parity unverified,summarized public source; no code copied,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-STS2-AGENT,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-STS2-AGENT,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-STS2-AGENT,community_instrumentation,CharTyr STS2-Agent,https://github.com/CharTyr/STS2-Agent,2026-09-03,community-current-unspecified,semantic bridge/actionability precedent; not target-build certification,community claim; independent reproduction required,summarized public source; no code copied,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
source-record:SRC-STS2-RL,true,source_ledger_record,sts2-expert-state-package-baseline-v1,SRC-STS2-RL,public-v0.107.1+steam-23811903,source-derived,inferred,required,false,false,SRC-STS2-RL,community_simulator,STS2 RL Agent,https://github.com/zhiyue/sts2-rl-agent,2026-09-03,community-current-unspecified,bridge/simulator and invalid-action masking precedent,community claim; parity unverified,summarized public source; no code copied,public reference summarized; no implementation copied,none; this source row is not a gameplay observation
