record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,field_id,access_class,applicable_families,state_question_coverage,expert_use,decision_effect,omission_risk,ablation_condition,evidence_status_note
expert-use:state.identity,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.identity,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,selects the state policy and gates the legal-action catalog,"constrains legality, calculation, estimation, or resource planning",wrong-screen mutation or unsafe policy dispatch,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.parent,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.parent,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,selects family-level policy and recovery defaults,"constrains legality, calculation, estimation, or resource planning",family policy mismatch,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.input_enabled,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.input_enabled,VIS_DIRECT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,hard gate against dispatch during animation or disabled input,"constrains legality, calculation, estimation, or resource planning",stale or duplicated mutation,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.stability,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.stability,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,chooses wait/reobserve versus strategic policy,"constrains legality, calculation, estimation, or resource planning",action during unresolved transition,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.observation_generation,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.observation_generation,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,fences actions against stale snapshots,"constrains legality, calculation, estimation, or resource planning",action applied to changed state,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.transition_id,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.transition_id,OBS_HISTORY,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"correlates proposed action, settlement, and postcondition","constrains legality, calculation, estimation, or resource planning",unreconcilable action outcome,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.active_modal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.active_modal,VIS_DIRECT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,prevents hidden-modal input from consuming a strategic action,"constrains legality, calculation, estimation, or resource planning",wrong control activation,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.visible_controls,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.visible_controls,VIS_DIRECT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,supports control availability and postcondition checks,"constrains legality, calculation, estimation, or resource planning",invented or unavailable action,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.inspection_surfaces,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.inspection_surfaces,VIS_ON_DEMAND,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,acquires legitimate detail without privileged reads,"constrains legality, calculation, estimation, or resource planning",avoidable uncertainty or wrong estimate,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.entry_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.entry_context,OBS_HISTORY,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,interprets stage and inherited constraints,"constrains legality, calculation, estimation, or resource planning",incorrect branch or memory update,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.exit_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.exit_context,OBS_HISTORY,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,sets postcondition and next-policy expectations,"constrains legality, calculation, estimation, or resource planning",false settlement,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.confusable_evidence,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.confusable_evidence,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,requires disambiguation before irreversible action,"constrains legality, calculation, estimation, or resource planning",wrong state classification,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.recovery_policy,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.recovery_policy,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,narrows authority after contradiction or timeout,"constrains legality, calculation, estimation, or resource planning",unsafe retry,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:run.character,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.character,VIS_DIRECT,lifecycle;map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,selects character resource and card policy,"constrains legality, calculation, estimation, or resource planning",wrong ruleset or card valuation,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:run.location,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.location,VIS_DIRECT,lifecycle;map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,sets planning horizon and encounter context,"constrains legality, calculation, estimation, or resource planning",route and resource-budget failure,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:run.resources,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.resources,VIS_DIRECT,lifecycle;map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,enforces survival and resource constraints,"constrains legality, calculation, estimation, or resource planning",avoidable death or illegal purchase,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:run.deck,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.deck,VIS_ON_DEMAND,lifecycle;map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"supports card reward, shop, rest, and draw evaluation","constrains legality, calculation, estimation, or resource planning",dilution and synergy errors,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:run.inventory,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.inventory,VIS_ON_DEMAND,lifecycle;map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"accounts for timing, capacity, and future option value","constrains legality, calculation, estimation, or resource planning",wrong sequencing or replacement choice,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
