record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,question_id,question,why_unresolved,required_evidence,owner_boundary,priority,closure_test,status,target_build_observed_claim
unresolved:UQ-001,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-001,Exact installed public build identity and local hashes,No licensed installation bytes were available to this package generation,"platform, branch, executable/data/assembly hashes, settings, mods",game-mod plus harness validation,critical,install exact public build and independently reproduce hashes,unverified,none; closure evidence has not been collected
unresolved:UQ-002,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-002,Host-observable versus player-observable boundary for every field,A bridge can expose host internals that a player cannot legitimately see,fair-play field-by-field exposure test with UI evidence,game-mod plus harness security,critical,fixture a hidden value and assert it cannot reach production schemas or policy,unverified,none; closure evidence has not been collected
unresolved:UQ-003,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-003,Completeness of the 131-state census,The list is a requirements baseline and may split or merge under live semantics,controlled lifecycle/combat/economy/event/rest/recovery traversal,game-mod plus harness state detector,critical,capture every decision surface with stable state and transition evidence,unverified,none; closure evidence has not been collected
unresolved:UQ-004,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-004,"Stable entity identity for cards, enemies, options, nodes, relics, and potions",Semantic actions require IDs that survive one observation generation,host IDs or session-minted identity rules,game-mod,critical,replay identity and stale-generation fixtures,unverified,none; closure evidence has not been collected
unresolved:UQ-005,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-005,Main-thread and action-settlement semantics,Accepted input does not prove the mutation settled,"signals, queues, barriers, latency bounds, and postconditions",game-mod plus gateway/MCP boundary,critical,at-most-once mutation and reconciliation fixture,unverified,none; closure evidence has not been collected
unresolved:UQ-006,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-006,Target-build deterministic combat mechanics,Prior STS1 knowledge cannot silently define STS2 rules,"damage, block, costs, piles, powers, intents, phases, summons",game-core/game-mod,critical,golden target-build fixtures and differential calculator tests,unverified,none; closure evidence has not been collected
unresolved:UQ-007,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-007,Empirical information importance,Current labels are analyst priors only,expert panel and paired field/group ablations,harness evaluation,high,"measure agreement, regret, legality, survival, completion, and calibration",unverified,none; closure evidence has not been collected
unresolved:UQ-008,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-008,Simulator/live parity and privilege isolation,Offline oracle knowledge must not leak into production,state/action/reward differential suite and process boundary,game-core plus harness,high,prove simulator is offline-only and meets build-pinned parity thresholds,unverified,none; closure evidence has not been collected
unresolved:UQ-009,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-009,Co-op public/private information and synchronization,Teammate/private state changes legality and privacy,two-to-four-instance ownership and desync fixtures,game-mod/gateway/harness,high,assert private state never enters local policy observation,unverified,none; closure evidence has not been collected
unresolved:UQ-010,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-010,Patch migration and quarantine,"Early Access changes state, mechanics, and branch identity","new-build manifest, schema diff, replay and leak suite",all boundary owners,critical,unknown build cannot autonomously mutate before promotion,unverified,none; closure evidence has not been collected
unresolved:UQ-011,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-011,"UI signatures across resolution, scale, locale, and input backend",Coordinate fallback is fragile and not yet configured,capture matrix with exact settings,game-mod plus CV fallback,high,independent CV parity and scale mismatch fail-closed tests,unverified,none; closure evidence has not been collected
unresolved:UQ-012,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-012,Recovery behavior for delayed or uncertain irreversible actions,Blind retries can double-apply effects,fault injection after dispatch and reconciliation traces,harness executor,critical,"same operation ID, read-only reconcile, no blind retry",unverified,none; closure evidence has not been collected
unresolved:UQ-013,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-013,Reward/shop/event/rest option consequence catalog,Visible options and follow-up stages are state-dependent,target-build fixtures for deterministic and random effects,game-core/game-mod,high,typed effects with estimated random distributions only,unverified,none; closure evidence has not been collected
unresolved:UQ-014,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-014,Expert demonstration provenance and inter-rater agreement,Expert agreement is not available in this package,consented build-pinned demonstrations and blind annotations,harness evaluation,medium,record disagreements and publish only approved sanitized traces,unverified,none; closure evidence has not been collected
unresolved:UQ-015,true,unresolved_question_record,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,UQ-015,Generated artifact reproducibility and digest binding,No generated package digests existed before materialization,"clean regeneration, canonical ordering, file hashes",harness repository,high,two clean generations produce identical bytes and manifests,unverified,none; closure evidence has not been collected
