record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,field_id,field_path,rank_order,importance_prior,access_class,expert_use,omission_risk,empirical_status,empirical_delta,reconciled_rank,privileged_policy,evidence_boundary
importance:state.identity,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.identity,state.identity.state_id,1,critical,DERIVED_EXACT,selects the state policy and gates the legal-action catalog,wrong-screen mutation or unsafe policy dispatch,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.parent,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.parent,state.identity.parent_state,2,high,DERIVED_EXACT,selects family-level policy and recovery defaults,family policy mismatch,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.input_enabled,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.input_enabled,state.input_enabled,3,critical,VIS_DIRECT,hard gate against dispatch during animation or disabled input,stale or duplicated mutation,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.stability,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.stability,state.stability,4,critical,DERIVED_EXACT,chooses wait/reobserve versus strategic policy,action during unresolved transition,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.observation_generation,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.observation_generation,state.observation_generation,5,critical,DERIVED_EXACT,fences actions against stale snapshots,action applied to changed state,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.transition_id,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.transition_id,state.transition_id,6,high,OBS_HISTORY,"correlates proposed action, settlement, and postcondition",unreconcilable action outcome,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.active_modal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.active_modal,state.active_modal,7,critical,VIS_DIRECT,prevents hidden-modal input from consuming a strategic action,wrong control activation,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.visible_controls,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.visible_controls,state.visible_controls,8,high,VIS_DIRECT,supports control availability and postcondition checks,invented or unavailable action,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.inspection_surfaces,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.inspection_surfaces,state.inspection_surfaces,9,high,VIS_ON_DEMAND,acquires legitimate detail without privileged reads,avoidable uncertainty or wrong estimate,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.entry_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.entry_context,state.entry_context,10,high,OBS_HISTORY,interprets stage and inherited constraints,incorrect branch or memory update,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.exit_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.exit_context,state.exit_context,11,high,OBS_HISTORY,sets postcondition and next-policy expectations,false settlement,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.confusable_evidence,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.confusable_evidence,state.confusable_evidence,12,high,DERIVED_EXACT,requires disambiguation before irreversible action,wrong state classification,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.recovery_policy,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.recovery_policy,state.recovery_policy_id,13,high,DERIVED_EXACT,narrows authority after contradiction or timeout,unsafe retry,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:run.character,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.character,run.character_id,14,high,VIS_DIRECT,selects character resource and card policy,wrong ruleset or card valuation,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:run.location,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.location,run.act_floor_node,15,critical,VIS_DIRECT,sets planning horizon and encounter context,route and resource-budget failure,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
